 x,y,z,P,u,v,w,V
  0.0662,   0.0000,   0.0000,  -0.0059,  0.00000,  0.00000,  0.00000,  0.00000
  0.0662,   0.0323,   0.0000,  -0.0059,  0.00226,  0.00153,  0.00000,  0.00273
  0.0662,   0.0645,   0.0000,  -0.0060,  0.00179,  0.00195,  0.00000,  0.00265
  0.0662,   0.0968,   0.0000,  -0.0061,  0.00072,  0.00219,  0.00000,  0.00231
  0.0662,   0.1290,   0.0000,  -0.0060, -0.00033,  0.00278,  0.00000,  0.00280
  0.0662,   0.1613,   0.0000,  -0.0058, -0.00127,  0.00391,  0.00000,  0.00411
  0.0662,   0.1935,   0.0000,  -0.0056, -0.00213,  0.00566,  0.00000,  0.00605
  0.0662,   0.2258,   0.0000,  -0.0055, -0.00294,  0.00805,  0.00000,  0.00857
  0.0662,   0.2581,   0.0000,  -0.0053, -0.00372,  0.01107,  0.00000,  0.01168
  0.0662,   0.2903,   0.0000,  -0.0053, -0.00449,  0.01473,  0.00000,  0.01540
  0.0662,   0.3226,   0.0000,  -0.0054, -0.00526,  0.01902,  0.00000,  0.01974
  0.0662,   0.3548,   0.0000,  -0.0056, -0.00603,  0.02395,  0.00000,  0.02470
  0.0662,   0.3871,   0.0000,  -0.0060, -0.00681,  0.02950,  0.00000,  0.03028
  0.0662,   0.4194,   0.0000,  -0.0067, -0.00759,  0.03568,  0.00000,  0.03648
  0.0662,   0.4516,   0.0000,  -0.0076, -0.00840,  0.04250,  0.00000,  0.04332
  0.0662,   0.4839,   0.0000,  -0.0088, -0.00925,  0.04996,  0.00000,  0.05081
  0.0662,   0.5161,   0.0000,  -0.0103, -0.01017,  0.05810,  0.00000,  0.05899
  0.0662,   0.5484,   0.0000,  -0.0123, -0.01119,  0.06696,  0.00000,  0.06789
  0.0662,   0.5806,   0.0000,  -0.0148, -0.01238,  0.07661,  0.00000,  0.07760
  0.0662,   0.6129,   0.0000,  -0.0178, -0.01382,  0.08716,  0.00000,  0.08825
  0.0662,   0.6452,   0.0000,  -0.0215, -0.01564,  0.09876,  0.00000,  0.09999
  0.0662,   0.6774,   0.0000,  -0.0260, -0.01802,  0.11164,  0.00000,  0.11308
  0.0662,   0.7097,   0.0000,  -0.0316, -0.02123,  0.12606,  0.00000,  0.12784
  0.0662,   0.7419,   0.0000,  -0.0385, -0.02563,  0.14237,  0.00000,  0.14466
  0.0662,   0.7742,   0.0000,  -0.0474, -0.03169,  0.16089,  0.00000,  0.16399
