 x,y,z,P,u,v,w,V
  0.1325,   0.0323,   0.0000,  -0.4657,  0.66702,  0.08592,  0.00000,  0.67253
  0.1325,   0.0645,   0.0000,  -0.4679,  0.96367,  0.13959,  0.00000,  0.97373
  0.1325,   0.0968,   0.0000,  -0.4791,  1.07255,  0.15548,  0.00000,  1.08376
  0.1325,   0.1290,   0.0000,  -0.4939,  1.09972,  0.14858,  0.00000,  1.10972
  0.1325,   0.1613,   0.0000,  -0.5095,  1.09457,  0.13125,  0.00000,  1.10241
  0.1325,   0.1935,   0.0000,  -0.5244,  1.07940,  0.11096,  0.00000,  1.08509
  0.1325,   0.2258,   0.0000,  -0.5379,  1.06353,  0.09148,  0.00000,  1.06746
  0.1325,   0.2581,   0.0000,  -0.5497,  1.05020,  0.07426,  0.00000,  1.05283
  0.1325,   0.2903,   0.0000,  -0.5598,  1.03999,  0.05954,  0.00000,  1.04170
  0.1325,   0.3226,   0.0000,  -0.5681,  1.03252,  0.04706,  0.00000,  1.03359
  0.1325,   0.3548,   0.0000,  -0.5749,  1.02720,  0.03637,  0.00000,  1.02784
  0.1325,   0.3871,   0.0000,  -0.5801,  1.02350,  0.02703,  0.00000,  1.02386
  0.1325,   0.4194,   0.0000,  -0.5840,  1.02102,  0.01867,  0.00000,  1.02119
  0.1325,   0.4516,   0.0000,  -0.5865,  1.01949,  0.01095,  0.00000,  1.01955
  0.1325,   0.4839,   0.0000,  -0.5877,  1.01876,  0.00361,  0.00000,  1.01876
  0.1325,   0.5161,   0.0000,  -0.5877,  1.01876, -0.00361,  0.00000,  1.01876
  0.1325,   0.5484,   0.0000,  -0.5865,  1.01949, -0.01095,  0.00000,  1.01955
  0.1325,   0.5806,   0.0000,  -0.5840,  1.02102, -0.01867,  0.00000,  1.02119
  0.1325,   0.6129,   0.0000,  -0.5801,  1.02350, -0.02703,  0.00000,  1.02386
  0.1325,   0.6452,   0.0000,  -0.5749,  1.02720, -0.03637,  0.00000,  1.02784
  0.1325,   0.6774,   0.0000,  -0.5681,  1.03252, -0.04706,  0.00000,  1.03359
  0.1325,   0.7097,   0.0000,  -0.5598,  1.03999, -0.05954,  0.00000,  1.04170
  0.1325,   0.7419,   0.0000,  -0.5497,  1.05020, -0.07426,  0.00000,  1.05283
  0.1325,   0.7742,   0.0000,  -0.5379,  1.06353, -0.09148,  0.00000,  1.06746
  0.1325,   0.8065,   0.0000,  -0.5244,  1.07940, -0.11096,  0.00000,  1.08509
  0.1325,   0.8387,   0.0000,  -0.5095,  1.09457, -0.13125,  0.00000,  1.10241
  0.1325,   0.8710,   0.0000,  -0.4939,  1.09972, -0.14858,  0.00000,  1.10972
  0.1325,   0.9032,   0.0000,  -0.4791,  1.07255, -0.15548,  0.00000,  1.08376
