 x,y,z,phi
   1.0000000000000000E-002 ,   1.0000000000000000E-002 ,   0.00000000     ,  0.50000000000000011     
   2.9999999999999999E-002 ,   1.0000000000000000E-002 ,   0.00000000     ,  0.25000000000000011     
   5.0000000000000003E-002 ,   1.0000000000000000E-002 ,   0.00000000     ,  0.12500000000000008     
   7.0000000000000007E-002 ,   1.0000000000000000E-002 ,   0.00000000     ,   6.2500000000000056E-002
   8.9999999999999997E-002 ,   1.0000000000000000E-002 ,   0.00000000     ,   3.1250000000000035E-002
  0.11000000000000000      ,   1.0000000000000000E-002 ,   0.00000000     ,   1.5625000000000017E-002
  0.13000000000000000      ,   1.0000000000000000E-002 ,   0.00000000     ,   7.8125000000000087E-003
  0.14999999999999999      ,   1.0000000000000000E-002 ,   0.00000000     ,   3.9062500000000043E-003
  0.17000000000000001      ,   1.0000000000000000E-002 ,   0.00000000     ,   1.9531250000000022E-003
  0.19000000000000000      ,   1.0000000000000000E-002 ,   0.00000000     ,   9.7656250000000108E-004
  0.20999999999999999      ,   1.0000000000000000E-002 ,   0.00000000     ,   4.8828125000000054E-004
  0.23000000000000001      ,   1.0000000000000000E-002 ,   0.00000000     ,   2.4414062500000027E-004
  0.25000000000000000      ,   1.0000000000000000E-002 ,   0.00000000     ,   1.2207031250000014E-004
  0.27000000000000002      ,   1.0000000000000000E-002 ,   0.00000000     ,   6.1035156250000068E-005
  0.28999999999999998      ,   1.0000000000000000E-002 ,   0.00000000     ,   3.0517578125000034E-005
  0.31000000000000000      ,   1.0000000000000000E-002 ,   0.00000000     ,   1.5258789062500017E-005
  0.33000000000000002      ,   1.0000000000000000E-002 ,   0.00000000     ,   7.6293945312500085E-006
  0.35000000000000003      ,   1.0000000000000000E-002 ,   0.00000000     ,   3.8146972656250042E-006
  0.37000000000000000      ,   1.0000000000000000E-002 ,   0.00000000     ,   1.9073486328125021E-006
  0.39000000000000001      ,   1.0000000000000000E-002 ,   0.00000000     ,   9.5367431640625106E-007
  0.41000000000000003      ,   1.0000000000000000E-002 ,   0.00000000     ,   4.7683715820312553E-007
  0.42999999999999999      ,   1.0000000000000000E-002 ,   0.00000000     ,   2.3841857910156276E-007
  0.45000000000000001      ,   1.0000000000000000E-002 ,   0.00000000     ,   1.1920928955078138E-007
  0.47000000000000003      ,   1.0000000000000000E-002 ,   0.00000000     ,   5.9604644775390691E-008
  0.48999999999999999      ,   1.0000000000000000E-002 ,   0.00000000     ,   2.9802322387695346E-008
